,Stop Name,counts
4,Atlantic Av - Barclays Ctr,205331
7,Borough Hall,99226
19,DeKalb Av,87538
5,Bedford Av,75588
34,Jay St - MetroTech,69903
55,York St,61753
6,Bergen St,60607
49,Nevins St,60252
48,Nassau Av,44079
31,High St,37772
28,Greenpoint Av,37614
42,Metropolitan Av,36730
0,15 St - Prospect Park,31119
2,7 Av,30545
12,Carroll St,29744
22,Franklin Av,29111
17,Clinton - Washington Avs,26562
39,Lafayette Av,26468
15,Clark St,26034
32,Hoyt - Schermerhorn Sts,24416
25,Graham Av,23420
40,Lorimer St,22338
18,Court St,20477
23,Fulton St,20407
33,Hoyt St,19475
41,Marcy Av,17675
51,Park Pl,16252
50,Nostrand Av,16052
26,Grand Army Plaza,15924
52,Union St,15802
16,Classon Av,14882
8,Botanic Garden,13959
1,4 Av,13497
47,Myrtle Av,13048
43,Montrose Av,12756
21,Flushing Av,11374
35,Jefferson St,11135
3,9 St,9856
27,Grand St,8877
20,Eastern Pkwy - Brooklyn Museum,8556
9,Broadway,8312
30,Hewes St,8235
53,Utica Av,7586
45,Myrtle - Willoughby Avs,7403
36,Kingston - Throop Avs,7206
13,Central Av,6038
44,Morgan Av,5677
37,Knickerbocker Av,5466
38,Kosciuszko St,997
46,Myrtle - Wyckoff Avs,822
29,Halsey St,215
24,Gates Av,195
10,Broadway Jct,129
54,Wilson Av,87
14,Chauncey St,48
11,Bushwick Av - Aberdeen St,32
