Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,geometry
24,620,R28,BMT,Broadway,Court St,Bk,R,Subway,40.6941,-73.991777,Manhattan,Bay Ridge - 95 St,POINT (-73.991777 40.6941)
25,636,R29,BMT,Broadway,Jay St - MetroTech,Bk,R,Subway,40.69218,-73.98594200000001,Manhattan,Bay Ridge - 95 St,POINT (-73.98594200000001 40.69218)
26,26,R30,BMT,Broadway - Brighton,DeKalb Av,Bk,B Q R,Subway,40.690635,-73.981824,Manhattan,Coney Island - Bay Ridge,POINT (-73.981824 40.690635)
27,617,R31,BMT,4th Av,Atlantic Av - Barclays Ctr,Bk,D N R,Subway,40.683665999999995,-73.97881,Manhattan,Coney Island - Bay Ridge,POINT (-73.97881 40.683666)
28,28,R32,BMT,4th Av,Union St,Bk,R,Subway,40.677316,-73.98311,Manhattan,Bay Ridge - 95 St,POINT (-73.98311 40.677316)
29,608,R33,BMT,4th Av,9 St,Bk,R,Subway,40.670846999999995,-73.988302,Manhattan,Bay Ridge - 95 St,POINT (-73.988302 40.67084699999999)
30,30,R34,BMT,4th Av,Prospect Av,Bk,R,Subway,40.665414,-73.99287199999999,Manhattan,Bay Ridge - 95 St,POINT (-73.99287199999999 40.665414)
31,31,R35,BMT,4th Av,25 St,Bk,R,Subway,40.660396999999996,-73.998091,Manhattan,Bay Ridge - 95 St,POINT (-73.998091 40.660397)
32,32,R36,BMT,4th Av,36 St,Bk,D N R,Subway,40.655144,-74.00354899999999,Manhattan,Coney Island - Bay Ridge,POINT (-74.00354899999999 40.655144)
33,33,R39,BMT,4th Av,45 St,Bk,R,Subway,40.648939,-74.010006,Manhattan,Bay Ridge - 95 St,POINT (-74.010006 40.648939)
34,34,R40,BMT,4th Av,53 St,Bk,R,Subway,40.645069,-74.014034,Manhattan,Bay Ridge - 95 St,POINT (-74.014034 40.645069)
35,35,R41,BMT,4th Av,59 St,Bk,N R,Subway,40.641362,-74.017881,Manhattan,Coney Island - Bay Ridge,POINT (-74.017881 40.641362)
36,36,R42,BMT,4th Av,Bay Ridge Av,Bk,R,Subway,40.634966999999996,-74.023377,Manhattan,95 St,POINT (-74.023377 40.634967)
37,37,R43,BMT,4th Av,77 St,Bk,R,Subway,40.629742,-74.02551,Manhattan,95 St,POINT (-74.02551 40.629742)
38,38,R44,BMT,4th Av,86 St,Bk,R,Subway,40.622687,-74.028398,Manhattan,95 St,POINT (-74.028398 40.622687)
39,39,R45,BMT,4th Av,Bay Ridge - 95 St,Bk,R,Subway,40.616622,-74.030876,Manhattan,,POINT (-74.03087600000001 40.616622)
40,617,D24,BMT,Broadway - Brighton,Atlantic Av - Barclays Ctr,Bk,B Q,Subway,40.684459999999994,-73.97689,Manhattan,Brighton Beach & Coney Island,POINT (-73.97689 40.68445999999999)
41,41,D25,BMT,Broadway - Brighton,7 Av,Bk,B Q,Subway,40.67705,-73.972367,Manhattan,Brighton Beach & Coney Island,POINT (-73.97236700000001 40.67705)
42,42,D26,BMT,Broadway - Brighton,Prospect Park,Bk,B Q,Open Cut,40.661614,-73.962246,Manhattan & Franklin Av,Brighton Beach & Coney Island,POINT (-73.96224599999999 40.661614)
43,43,D27,BMT,Broadway - Brighton,Parkside Av,Bk,B Q,Open Cut,40.655291999999996,-73.961495,Manhattan,Brighton Beach & Coney Island,POINT (-73.961495 40.655292)
44,44,D28,BMT,Broadway - Brighton,Church Av,Bk,B Q,Open Cut,40.650527000000004,-73.962982,Manhattan,Brighton Beach & Coney Island,POINT (-73.962982 40.650527)
45,45,D29,BMT,Broadway - Brighton,Beverley Rd,Bk,B Q,Open Cut,40.644031,-73.964492,Manhattan,Brighton Beach & Coney Island,POINT (-73.96449200000001 40.644031)
46,46,D30,BMT,Broadway - Brighton,Cortelyou Rd,Bk,B Q,Open Cut,40.640927000000005,-73.963891,Manhattan,Brighton Beach & Coney Island,POINT (-73.963891 40.640927)
47,47,D31,BMT,Broadway - Brighton,Newkirk Plaza,Bk,B Q,Open Cut,40.635082000000004,-73.962793,Manhattan,Brighton Beach & Coney Island,POINT (-73.962793 40.635082)
48,48,D32,BMT,Broadway - Brighton,Avenue H,Bk,B Q,Open Cut,40.62927,-73.961639,Manhattan,Brighton Beach & Coney Island,POINT (-73.96163900000001 40.62927)
49,49,D33,BMT,Broadway - Brighton,Avenue J,Bk,B Q,Open Cut,40.625039,-73.960803,Manhattan,Brighton Beach & Coney Island,POINT (-73.960803 40.625039)
50,50,D34,BMT,Broadway - Brighton,Avenue M,Bk,B Q,Open Cut,40.617618,-73.959399,Manhattan,Brighton Beach & Coney Island,POINT (-73.959399 40.617618)
51,51,D35,BMT,Broadway - Brighton,Kings Hwy,Bk,B Q,Open Cut,40.608670000000004,-73.957734,Manhattan,Brighton Beach & Coney Island,POINT (-73.957734 40.60867)
52,52,D37,BMT,Broadway - Brighton,Avenue U,Bk,B Q,Open Cut,40.5993,-73.955929,Manhattan,Brighton Beach & Coney Island,POINT (-73.955929 40.5993)
53,53,D38,BMT,Broadway - Brighton,Neck Rd,Bk,B Q,Open Cut,40.595246,-73.955161,Manhattan,Brighton Beach & Coney Island,POINT (-73.955161 40.595246)
54,54,D39,BMT,Broadway - Brighton,Sheepshead Bay,Bk,B Q,Open Cut,40.586896,-73.954155,Manhattan,Brighton Beach & Coney Island,POINT (-73.954155 40.586896)
55,55,D40,BMT,Broadway - Brighton,Brighton Beach,Bk,B Q,Elevated,40.577621,-73.961376,Manhattan,Coney Island,POINT (-73.961376 40.577621)
56,56,D41,BMT,Broadway - Brighton,Ocean Pkwy,Bk,Q,Elevated,40.576312,-73.968501,Manhattan,Stillwell Av,POINT (-73.968501 40.576312)
57,57,D42,BMT,Broadway - Brighton,W 8 St - NY Aquarium,Bk,F Q,Elevated,40.576127,-73.975939,Manhattan,Stillwell Av,POINT (-73.975939 40.576127)
58,58,D43,BMT,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Bk,D F N Q,Viaduct,40.577422,-73.98123299999999,Manhattan,,POINT (-73.98123299999999 40.577422)
59,59,B12,BMT,West End,9 Av,Bk,D,Open Cut,40.646291999999995,-73.994324,Manhattan,Coney Island,POINT (-73.99432400000001 40.646292)
60,60,B13,BMT,West End,Fort Hamilton Pkwy,Bk,D,Elevated,40.640914,-73.994304,Manhattan,Coney Island,POINT (-73.994304 40.640914)
61,61,B14,BMT,West End,50 St,Bk,D,Elevated,40.63626,-73.994791,Manhattan,Coney Island,POINT (-73.99479100000001 40.63626)
62,62,B15,BMT,West End,55 St,Bk,D,Elevated,40.631434999999996,-73.995476,Manhattan,Coney Island,POINT (-73.995476 40.631435)
63,615,B16,BMT,West End,62 St,Bk,D,Elevated,40.626472,-73.996895,Manhattan,Coney Island,POINT (-73.99689499999999 40.626472)
64,64,B17,BMT,West End,71 St,Bk,D,Elevated,40.619589000000005,-73.998864,Manhattan,Coney Island,POINT (-73.998864 40.619589)
65,65,B18,BMT,West End,79 St,Bk,D,Elevated,40.613501,-74.00061,Manhattan,Coney Island,POINT (-74.00060999999999 40.613501)
66,66,B19,BMT,West End,18 Av,Bk,D,Elevated,40.607954,-74.001736,Manhattan,Coney Island,POINT (-74.00173599999999 40.607954)
67,67,B20,BMT,West End,20 Av,Bk,D,Elevated,40.604556,-73.998168,Manhattan,Coney Island,POINT (-73.99816800000001 40.604556)
68,68,B21,BMT,West End,Bay Pkwy,Bk,D,Elevated,40.601875,-73.993728,Manhattan,Coney Island,POINT (-73.993728 40.601875)
69,69,B22,BMT,West End,25 Av,Bk,D,Elevated,40.597704,-73.986829,Manhattan,Coney Island,POINT (-73.986829 40.597704)
70,70,B23,BMT,West End,Bay 50 St,Bk,D,Elevated,40.588840999999995,-73.983765,Manhattan,Coney Island,POINT (-73.98376500000001 40.588841)
71,71,N02,BMT,Sea Beach,8 Av,Bk,N,Open Cut,40.635064,-74.011719,Manhattan,Coney Island,POINT (-74.011719 40.635064)
72,72,N03,BMT,Sea Beach,Fort Hamilton Pkwy,Bk,N,Open Cut,40.631386,-74.005351,Manhattan,Coney Island,POINT (-74.005351 40.631386)
73,615,N04,BMT,Sea Beach,New Utrecht Av,Bk,N,Open Cut,40.624842,-73.996353,Manhattan,Coney Island,POINT (-73.996353 40.624842)
74,74,N05,BMT,Sea Beach,18 Av,Bk,N,Open Cut,40.620671,-73.990414,Manhattan,Coney Island,POINT (-73.990414 40.620671)
75,75,N06,BMT,Sea Beach,20 Av,Bk,N,Open Cut,40.61741,-73.985026,Manhattan,Coney Island,POINT (-73.985026 40.61741)
76,76,N07,BMT,Sea Beach,Bay Pkwy,Bk,N,Open Cut,40.611815,-73.981848,Manhattan,Coney Island,POINT (-73.981848 40.611815)
77,77,N08,BMT,Sea Beach,Kings Hwy,Bk,N,Open Cut,40.603922999999995,-73.98035300000001,Manhattan,Coney Island,POINT (-73.98035300000001 40.60392299999999)
78,78,N09,BMT,Sea Beach,Avenue U,Bk,N,Open Cut,40.597473,-73.979137,Manhattan,Coney Island,POINT (-73.97913699999999 40.597473)
79,79,N10,BMT,Sea Beach,86 St,Bk,N,Open Cut,40.592721000000004,-73.97823000000001,Manhattan,Coney Island,POINT (-73.97823000000001 40.592721)
86,86,J19,BMT,Jamaica,Cypress Hills,Bk,J,Elevated,40.689941,-73.87255,Jamaica,Manhattan,POINT (-73.87255 40.689941)
87,87,J20,BMT,Jamaica,Crescent St,Bk,J Z,Elevated,40.683194,-73.873785,Jamaica,Manhattan,POINT (-73.873785 40.683194)
88,88,J21,BMT,Jamaica,Norwood Av,Bk,J Z,Elevated,40.68141,-73.880039,Jamaica,Manhattan,POINT (-73.880039 40.68141)
89,89,J22,BMT,Jamaica,Cleveland St,Bk,J,Elevated,40.679947,-73.884639,Jamaica,Manhattan,POINT (-73.88463900000001 40.679947)
90,90,J23,BMT,Jamaica,Van Siclen Av,Bk,J Z,Elevated,40.678024,-73.891688,Jamaica,Manhattan,POINT (-73.891688 40.678024)
91,91,J24,BMT,Jamaica,Alabama Av,Bk,J,Elevated,40.676992,-73.89865400000001,Jamaica,Manhattan,POINT (-73.89865400000001 40.676992)
92,621,J27,BMT,Jamaica,Broadway Jct,Bk,J Z,Elevated,40.679497999999995,-73.904512,Jamaica,Manhattan,POINT (-73.904512 40.679498)
93,93,J28,BMT,Jamaica,Chauncey St,Bk,J Z,Elevated,40.682893,-73.91045600000001,Jamaica,Manhattan,POINT (-73.91045600000001 40.682893)
94,94,J29,BMT,Jamaica,Halsey St,Bk,J,Elevated,40.686370000000004,-73.91655899999999,Jamaica,Manhattan,POINT (-73.91655899999999 40.68637)
