user_id,elite_status
fbVjf0-pLHlmFl2VtNyeOQ,
oAT8pQwZNanxdQenkY5vug,
fH8CyyE7hn9t0qmPuFbsXw,
PrjGszFQdmzdC91yGW6RlA,
PnXg8cu3LFCYbVrplOFwIw,
YHadO72fcXZUWk3Lbac9mQ,
GBoYH9o7IxV3dMBh4hCrJQ,
xxMmN-i5gIha4WMRwhH-AQ,"
                

    Elite 2009

                

    ’08

        "
T9cpHiJ0K7uDuS27QBOMzg,
OJo7X5CRf8lzcCgoIR77TA,
-VlwI_HAngDK7RyvVzxjXQ,
tvhx6h9fhRFSyFdM_wIzRg,
AIG3PyQzrqjm9uWkU2tIxQ,
9ibNNMkGrK7lYzpIIOawYg,
fyEm7z1afuMR5tkmRz-HXA,
H5MBvbwaTKtw9rvh-puUvw,
exK2qy9lwdLTXVX50eTwKA,
a9TgOkyUXnqjWJMqOwnm8Q,
eNbPrN5BxpKBLaTpOBSukA,
I5JLhlZXKIYw5QmmPw_Q2A,
U0WU9d6gpMNkO_tPXK58Sg,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

        "
H4Bu7sj2LrGQV0aTdPULsQ,
jLPH3zqEEo3E90PKecs02g,
WrXE0tUSOGxlHeESVgvqFQ,
TFyViMX1OKVKJYv2qjz4hg,
aejDdiGdtpPO5BDsgF8COg,
NobNTSM4glG5opX050MQHQ,
x0r09Dckh6co6mIOsmUVvw,
e4sKCHS20I25_IARbCU2XA,
B3FKsBmq7gVxrtbb6brByA,
LxFyNs_xHz3LU8K6xbQfrQ,
NRDdHhGUyF5TdkV6KxAkww,
JIOJzOEXojVdkogPukMiRg,
7KpCpAVud3k_Vwe8VoMNkQ,
9GoeJlpnGFpMCNnink22Lg,
HEXGUGgff5amx7elNHIqIg,
UvRE-DEtr3xqUzFqZruHiw,
g38FqMq8nb6z2l14WQ7TBg,
s9vqf5Z6UnPG8nQKbbhM7g,
rXKjMIo0jVFmUfaqCqDs0Q,"
                

    Elite 2014

                

    ’13

        "
AMJrLO_V2et35lKHmOKkHw,
sinSWi7qGNbtII6SbvDMpw,
iP8oQrpAtF3AX2zfIUGnBA,
Vh2_8eGEksXhEz2u90aEGA,
i0oc6Dnz890JBe7GL7vYqw,
ihpjVBrXYUzTK3qvJd9QtQ,
CwKEADgqqNxSRujnMbforQ,
zgzDBq1UjPzpmVdfxFN2Xg,
9GNutJEdDADklzNOhW3ycQ,
btJSV-CNj0r4F0dqjOmrHw,
K-U4VE6zMtxrOuezSN0xCQ,
