user_id,num_compliment_2017,num_compliment_2018,mean_compliment_num_word_2017,mean_compliment_num_word_2018,mean_compliment_num_chars_2017,mean_compliment_num_chars_2018
--2HUmLkcNHZp0xw6AMBPg,1.0,0.0,9.64102564102564,4.5,50.69230769230769,25.5
--BumyUHiO_7YsHurb9Hkw,0.0,0.0,0.0,15.0,0.0,80.0
--KKFIKZpMeRy8fLNp0brA,0.0,0.0,13.0,0.0,77.0,0.0
--b3iokqilK_yZo_pSg3Zg,0.0,0.0,0.0,21.0,0.0,125.0
--lxIKA120M07cOUs8tzZQ,0.0,0.0,3.0,0.0,25.0,0.0
--ty7Z9fEt08E3dS3_qoSA,0.0,0.0,10.0,0.0,66.0,0.0
--vvFaQtfzAG0NB5CocoiQ,0.0,0.0,0.0,3.0,0.0,17.0
-0-hVEpwWEcJLJoGq3rE3g,0.0,0.0,13.5,0.0,64.5,0.0
-06Ho8U97o5_IgycL0uSsA,0.0,0.0,0.0,10.5,0.0,59.5
-0D44Oa5eolEFmaIM4MbWA,0.0,0.0,3.0,0.0,19.0,0.0
-0DzTWU5ZKy-4yErEziMUQ,0.0,0.0,9.0,0.0,47.0,0.0
-0b84SUGVN0YkG5j2MCmBw,0.0,0.0,9.0,11.9,56.0,66.9
-0dOdNR_GMZq0yHWYuwRaw,0.0,0.0,8.5,0.0,46.5,0.0
-0udWcFQEt2M8kM3xcIofw,0.0,0.0,0.0,14.5,0.0,78.0
-1-pTXLHph2vcqRCNeT4_Q,0.0,0.0,12.5,8.333333333333334,63.0,48.666666666666664
-16aKjco1c0RJ7c4U-q_Kw,0.0,0.0,11.0,0.0,63.5,0.0
-1CuJ6AJ6YszG3eHHkOGvQ,0.0,0.0,5.0,0.0,29.0,0.0
-1EqqMlMBkosE0h65Z74zA,0.0,0.0,13.0,0.0,62.0,0.0
-1it-1oll1OOP6KMsF-Auw,0.0,1.0,6.0,19.333333333333332,37.666666666666664,97.66666666666667
-1jAjdMaT7bi1GjUptJCIw,0.0,0.0,11.0,0.0,55.0,0.0
-29mRegZaail0YPY00AMig,0.0,0.0,5.0,0.0,33.0,0.0
-2fIeLlX0xlRcEC0H4apAQ,0.0,0.0,11.0,0.0,67.0,0.0
-2kCxY7_aw5hOz7fJnGMbQ,0.0,0.0,9.0,0.0,50.0,0.0
-2rRbHO0xmr10hk-QVGyuQ,0.0,0.0,0.0,11.5,0.0,54.5
-3Tgw9br9O68emgrgFj48Q,0.0,0.0,4.5,0.0,32.0,0.0
-5HbX0mu5DuNH3bgODjBqA,0.0,0.0,5.5,0.0,34.5,0.0
-5IhsZXkCka8u8LVksXKLw,0.0,0.0,0.0,12.0,0.0,54.0
-5UCau_CAXwgrpM8x6EtSw,0.0,0.0,6.0,0.0,28.0,0.0
-5e4VTnu_pR4Gpv3VSncaw,0.0,0.0,22.0,0.0,144.0,0.0
-5wYlH-7L51_t624VZfu1Q,0.0,0.0,3.0,0.0,23.0,0.0
-63dYc-Xxdmxo1EBO-TjRA,0.0,0.0,14.0,0.0,71.71428571428571,0.0
-6UM732TQFPhKCyjsWHjNg,0.0,0.0,6.0,0.0,39.0,0.0
-6mOBAn9R9t3o8sAJwmj_g,0.0,0.0,14.0,0.0,69.0,0.0
-6qIxrCYRL3ZERgu2qxjBQ,0.0,0.0,4.0,0.0,26.0,0.0
-7CwZqIBQnqzntDNJJiRSA,0.0,0.0,7.5,0.0,42.5,0.0
-7bmOWMXtmIHgb5c2CnH0g,0.0,0.0,8.0,0.0,48.0,0.0
-7fIz3f9uaNopyI2ukXiFQ,0.0,0.0,5.0,0.0,29.0,0.0
-83s33R6DAJKlc6C5Wqzwg,0.0,0.0,14.0,0.0,78.0,0.0
-8h7rqSImXm8VdEUf-5aeQ,0.0,0.0,7.0,0.0,41.0,0.0
-8kyX5C587Rof6H6CPcyfA,0.0,0.0,8.5,0.0,44.5,0.0
-8nmj3B-tfY_vFiimtBOsw,0.0,0.0,9.666666666666666,13.0,55.44444444444444,66.0
-8poh5BcPBUi1PxhyTz0oQ,0.0,0.0,0.0,10.0,0.0,62.0
-9RU4LuI_TfYgv9rBijJoQ,0.0,1.0,14.142857142857142,13.75,72.19047619047619,76.25
-9WVpTW5LAEo9y6PbW0-cw,0.0,0.0,11.0,0.0,50.0,0.0
-9b4s874f_CnznTu4JorRg,0.0,0.0,12.5,6.5,66.125,36.5
-9bbDysuiWeo2VShFJJtcw,0.0,0.0,22.833333333333332,0.0,120.16666666666667,0.0
-9da1xk7zgnnfO1uTVYGkA,3.0,0.0,14.5,0.0,89.0,0.0
-9jL55-lbkKCf4LceQ1TRw,0.0,0.0,1.0,0.0,7.0,0.0
-9nH9IaVZQ9ETjd4gRHpRw,0.0,0.0,0.0,5.0,0.0,57.0
-A5HK8XeV83K0IY5wzITPg,0.0,0.0,14.0,0.0,73.0,0.0
-A5N3w0LLZU1DW31nqaASw,0.0,0.0,6.0,0.0,30.333333333333332,0.0
-AJpDfeN-Rhli2WUTdV-4A,0.0,0.0,9.0,0.0,51.0,0.0
-ALVvVsACTOCKKTosnhtSQ,0.0,0.0,7.0,31.666666666666668,52.0,170.0
-ARdx8hOcEWlMDjzwLYZ_g,0.0,0.0,16.0,0.0,86.0,0.0
-A_H0msLm8VuLH4TU7euYA,0.0,0.0,0.0,12.0,0.0,70.0
-Anyb0vB5LrW273whytNRw,0.0,1.0,0.0,15.0,0.0,80.25
-AofwBDIQpSD2iD9U3RC_w,0.0,0.0,0.0,17.0,0.0,80.0
-Asd7xvmwJf0V6ByGoiVOA,0.0,0.0,2.0,0.0,12.0,0.0
-Ben9zLYKB56JzRdBaBoQw,0.0,0.0,9.0,0.0,57.0,0.0
-Biq3Dt8YhkRJEO_ITrvww,0.0,0.0,17.0,0.0,86.0,0.0
-C-l8EHSLXtZZVfUAUhsPA,0.0,0.0,6.571428571428571,0.0,38.714285714285715,0.0
-C9TzyciiJwct30Mwm_o9Q,0.0,2.0,16.545454545454547,21.61111111111111,96.72727272727273,136.74074074074073
-CRQN7YrGh8lP6ETZ7QWjA,0.0,0.0,14.0,0.0,78.0,0.0
-DPkNlW9tR4qfZpoQW4Vjg,0.0,0.0,20.0,0.0,113.33333333333333,0.0
-DX8-8SiPk28FLIyikTHPg,0.0,0.0,13.0,0.0,80.0,0.0
-DeoafeWHFwpMlfCYCtLXw,0.0,0.0,9.0,7.0,45.0,44.0
-DfRsYsqjHgVnr_V6PvqSQ,0.0,0.0,10.75,15.0,63.0,76.0
-Dmx2h90m6Hte2Tzqi_nVQ,0.0,0.0,0.0,8.0,0.0,58.0
-DqEhMknM-vqqnKvodiwig,0.0,0.0,6.0,0.0,33.5,0.0
-Ds0hzlQwZUukmOwnapaFg,0.0,0.0,9.666666666666666,14.0,65.66666666666667,76.0
-E5cN0G9euxedlKDj5qvMw,0.0,0.0,3.0,0.0,22.0,0.0
-ESsr-W2fN9P_Td4xjMaWg,0.0,0.0,0.0,12.0,0.0,76.0
-EWEARBXP1FayG2JTSl29A,0.0,0.0,14.0,0.0,67.0,0.0
-EeWQcUn6ufWf7PROIDSUw,0.0,0.0,4.0,0.0,27.0,0.0
-FFqZupwGHf-vrsUHMr_vw,0.0,0.0,21.0,0.0,88.0,0.0
-FVH4seX3zKFiwTbJtFRmQ,0.0,0.0,9.0,5.0,41.5,31.0
